group,time,s_MP,change,type,length,sum_change,area,surge_area,group,time,change,type,p_MP,p_buyCap,p_askCap,p_totalBidVol,p_totalAskVol,length,sum_change,area
6289,1676989802879.0,20.22,0.0022295628071301145,surge,1,0.0022295628071301145,0.0022295628071301145,0.0022295628071301145,6290.0,1676989832836.0,-0.0014332704759821512,precursor,20.22,3800496.15,34206568.55,431737.01,317064.2,3.0,-0.003265199276533248,-0.009795597829599744
6291,1676989923042.0,20.17,0.0015867113660866794,surge,4,0.005446297480294038,0.021785189921176153,0.021785189921176153,6292.0,1676990079015.0,0.00039469632742732407,precursor,20.27,3798164.27,34238644.96,431487.18,318976.34,4.0,-0.0007384046100982534,-0.0029536184403930136
6293,1676990372190.0,20.3,0.0023217455984034354,surge,1,0.0023217455984034354,0.0023217455984034354,0.0023217455984034354,6294.0,1676990483853.0,0.0004432286001854857,precursor,20.29,3808541.18,34200202.0,431609.27,316828.91,3.0,-0.0012292727757435618,-0.0036878183272306855
6295,1676990873529.0,20.27,0.0009376628674944043,surge,1,0.0009376628674944043,0.0009376628674944043,0.0009376628674944043,6296.0,1676991004187.0,-0.0005883711222071763,precursor,20.25,3770453.83,34218052.7,430093.55,317411.1,1.0,-0.0005883711222071763,-0.0005883711222071763
6297,1676991113942.0,20.29,0.002168654012051219,surge,2,0.005569963123247913,0.011139926246495825,0.011139926246495825,6298.0,1676991419657.0,-0.002105927549234177,precursor,20.38,3714564.49,34253950.5,426556.55,318853.69,2.0,-0.002349744599683823,-0.004699489199367646
6299,1676991703276.0,20.39,0.0007870866720853575,surge,1,0.0007870866720853575,0.0007870866720853575,0.0007870866720853575,6300.0,1676991843355.0,0.00024574849345029295,precursor,20.38,3809277.39,34204229.31,431295.86,316653.11,3.0,-0.003826419887869148,-0.011479259663607445
6301,1676992555423.0,20.29,0.0009864846364949775,surge,5,0.01378916802770197,0.06894584013850985,0.06894584013850985,6302.0,1676994556638.0,-0.0007276117742702537,precursor,20.54,3824687.82,34506338.92,430910.76,329721.81,4.0,-0.010912542659533887,-0.043650170638135546
6303,1676996352771.0,20.36,0.0009342164559951183,surge,1,0.0009342164559951183,0.0009342164559951183,0.0009342164559951183,6304.0,1676996917384.0,-0.004271035702623316,precursor,20.34,3820319.53,34174912.13,431835.08,315257.78,1.0,-0.004271035702623316,-0.004271035702623316
6305,1676997532101.0,20.23,0.0005976963731898377,surge,8,0.05866749892872669,0.46933999142981353,0.46933999142981353,6306.0,1677004708752.0,-0.013188341257100323,precursor,21.27,3749070.05,34119347.74,423238.3,308255.26,1.0,-0.013188341257100323,-0.013188341257100323
6307,1677004986769.0,21.19,0.0026003651432761955,surge,1,0.0026003651432761955,0.0026003651432761955,0.0026003651432761955,6308.0,1677005401909.0,-7.32836850103058e-05,precursor,21.35,3634931.25,34199025.58,415788.01,311474.7,6.0,-0.012666319384890023,-0.07599791630934014
6309,1677010691963.0,20.99,0.005337361048947475,surge,1,0.005337361048947475,0.005337361048947475,0.005337361048947475,6310.0,1677011736670.0,-3.845942383801093e-05,precursor,21.16,3703331.51,34216339.83,419761.55,312620.65,1.0,-3.845942383801093e-05,-3.845942383801093e-05
6311,1677012793447.0,21.08,0.0032707917676606745,surge,1,0.0032707917676606745,0.0032707917676606745,0.0032707917676606745,6312.0,1677014590361.0,-0.005462178673025242,precursor,21.07,3811831.53,34111107.95,425745.08,308119.87,3.0,-0.01199760041970831,-0.035992801259124935
6313,1677018354503.0,21.04,0.002561428198201032,surge,1,0.002561428198201032,0.002561428198201032,0.002561428198201032,6314.0,1677019804129.0,-0.0037584880440271863,precursor,20.92,3782063.88,34050260.99,424811.28,307119.78,2.0,-0.006434513677773213,-0.012869027355546426
6315,1677022455454.0,20.84,0.0021607366806171923,surge,3,0.021845322754810173,0.06553596826443052,0.06553596826443052,6316.0,1677026518510.0,-0.004294734808450729,precursor,21.34,3857866.42,34100775.91,426298.95,307273.11,5.0,-0.03199804102713807,-0.15999020513569034
6317,1677033203409.0,20.42,0.004929090529043068,surge,3,0.03058535804829796,0.09175607414489388,0.09175607414489388,6318.0,1677038484867.0,-0.00011150829856629852,precursor,21.32,3984764.57,34641037.33,432896.38,331389.54,6.0,-0.03151266791332674,-0.18907600747996045
6319,1677049980477.0,20.53,0.005903419894004514,surge,2,0.01960043334824658,0.03920086669649316,0.03920086669649316,6320.0,1677055478380.0,-0.021211460730046306,precursor,20.73,3897231.5,34827865.37,450878.72,337268.58,2.0,-0.04506427047731715,-0.0901285409546343
6321,1677057584210.0,20.09,0.024712464114659105,surge,2,0.02578181397758079,0.05156362795516158,0.05156362795516158,6322.0,1677062939568.0,-0.007628226226676527,precursor,20.53,3763442.59,34773042.71,445184.22,335589.81,4.0,-0.015977547745694144,-0.06391019098277657
6323,1677073027329.0,20.26,0.0015378246886948,surge,1,0.0015378246886948,0.0015378246886948,0.0015378246886948,6324.0,1677076067230.0,-0.006800261131310004,precursor,20.16,3773286.16,34041546.01,446482.47,301782.34,2.0,-0.023525455580015387,-0.047050911160030774
6325,1677081401312.0,19.78,0.03662321272650819,surge,2,0.1553821273853429,0.3107642547706858,0.3107642547706858,6326.0,1677084485136.0,0.0,precursor,19.7,3887146.85,34069416.08,455879.17,305579.03,5.0,-0.003097477097454937,-0.015487385487274685
6327,1677084635532.0,19.66,0.001629431654653879,surge,1,0.001629431654653879,0.001629431654653879,0.001629431654653879,6328.0,1677084668067.0,0.00030521397957498084,precursor,19.68,3879722.48,34030579.64,455704.35,303714.96,4.0,-0.0009146081032809229,-0.0036584324131236916
6329,1677084871848.0,19.64,0.0006617588583467838,surge,2,0.002238280737401399,0.004476561474802798,0.004476561474802798,6330.0,1677085038246.0,-0.001167100702501833,precursor,19.67,3940673.02,34035042.59,458901.53,303944.52,1.0,-0.001167100702501833,-0.001167100702501833
6331,1677085127710.0,19.68,0.0016775011035620846,surge,5,0.005681536963025336,0.028407684815126677,0.028407684815126677,6332.0,1677085823601.0,-0.002829662019487278,precursor,19.73,3987351.16,34047088.12,460867.31,304245.03,1.0,-0.002829662019487278,-0.002829662019487278
6333,1677085952812.0,19.73,0.0006082366004535378,surge,4,0.004606346881819478,0.018425387527277914,0.018425387527277914,6334.0,1677086793844.0,-0.0010090309003721986,precursor,19.8,3975234.0,34064019.87,459991.85,304985.94,1.0,-0.0010090309003721986,-0.0010090309003721986
6335,1677087165039.0,19.8,0.0010614739129649609,surge,2,0.0034330711951766403,0.0068661423903532805,0.0068661423903532805,6336.0,1677088010357.0,0.0005037024170047144,precursor,19.88,3999941.75,34186558.0,460862.09,310942.62,1.0,0.0005037024170047144,0.0005037024170047144
6337,1677088476388.0,19.89,0.002364008819215413,surge,4,0.006726560983223428,0.026906243932893713,0.026906243932893713,6338.0,1677090494385.0,0.0004011990776585872,precursor,20.05,3662881.57,34268414.63,442605.01,313095.15,3.0,-0.0009954844369483129,-0.0029864533108449384
6339,1677092274199.0,19.98,0.0011031284670746989,surge,2,0.004168535100089054,0.008337070200178109,0.008337070200178109,6340.0,1677093600539.0,-0.0004414264165329862,precursor,20.11,3553242.64,34222177.68,419086.54,310803.8,2.0,-0.005722406225264376,-0.011444812450528752
6341,1677094647366.0,19.99,0.0022565664729725875,surge,2,0.004955742983021194,0.009911485966042388,0.009911485966042388,6342.0,1677096109544.0,-0.002886391926069243,precursor,20.02,3765872.01,34227480.66,430141.76,311419.7,1.0,-0.002886391926069243,-0.002886391926069243
6343,1677096928388.0,20.03,0.00130215047786163,surge,1,0.00130215047786163,0.00130215047786163,0.00130215047786163,6344.0,1677097575560.0,-0.004092620940984981,precursor,20.0,3794971.73,34238169.67,431756.08,312032.82,3.0,-0.006195722602061626,-0.018587167806184877
6345,1677099518300.0,19.9,0.0016085699965793898,surge,1,0.0016085699965793898,0.0016085699965793898,0.0016085699965793898,6346.0,1677100183226.0,-0.0013533832054324236,precursor,19.9,3751778.81,34162641.05,430020.53,309035.72,3.0,-0.0027090821940022325,-0.008127246582006697
