,group,time,s_MP,change,type,length,sum_change,area,surge_area,group.1,time.1,change.1,type.1,p_MP,precursor_buy_cap_pct_change,precursor_ask_cap_pct_change,precursor_bid_vol_pct_change,precursor_ask_vol_pct_change,length.1,sum_change.1,area.1,Cluster
2420,4841,1673143400000.0,11.65,0.0013794521,surge,1,0.0013794521,0.0013794521,0.0013794521,4842.0,1673144800000.0,-0.0019755047,precursor,11.63,-0.012071639,0.00034571442,-0.0051642023,0.0016882335,2.0,-0.0025768771,-0.0051537543,Cluster 0
2421,4843,1673146400000.0,11.6,0.0012057831,surge,4,0.005845338,0.023381352,0.023381352,4844.0,1673153500000.0,0.00017123288,precursor,11.68,0.012523574,-0.0019334082,0.005358548,-0.0072998935,2.0,0.00017137936,0.00034275872,Cluster 0
2422,4845,1673156500000.0,11.69,0.0015408762,surge,1,0.0015408762,0.0015408762,0.0015408762,4846.0,1673158600000.0,0.00051347876,precursor,11.71,-0.0038090812,0.0008008428,-0.002415204,0.0021006586,1.0,0.00051347876,0.00051347876,Cluster 0
2423,4847,1673160300000.0,11.72,0.001623348,surge,4,0.0110690445,0.044276178,0.044276178,4848.0,1673170900000.0,-0.0016033041,precursor,11.8,0.0027206058,0.0017413195,0.0011189625,0.007002688,1.0,-0.0016033041,-0.0016033041,Cluster 0
2424,4849,1673174300000.0,11.81,0.0010155151,surge,1,0.0010155151,0.0010155151,0.0010155151,4850.0,1673177900000.0,-0.00084223674,precursor,11.84,0.009510889,0.0053825504,0.0038208403,0.02068533,1.0,-0.00084223674,-0.00084223674,Cluster 0
2425,4851,1673180300000.0,11.81,0.0007655007,surge,2,0.003133798,0.006267596,0.006267596,4852.0,1673185500000.0,-0.0010112347,precursor,11.86,-0.009693659,-0.006585098,-0.0053191534,-0.025447205,1.0,-0.0010112347,-0.0010112347,Cluster 0
2426,4853,1673187800000.0,11.88,0.0046449876,surge,2,0.45317703,0.90635407,0.90635407,4854.0,1673191400000.0,-0.0274619,precursor,11.9,-0.2419179,0.052750394,-0.17899568,0.045919664,8.0,-0.027796976,-0.22237581,Cluster 0
2427,4855,1673191600000.0,11.92,0.0016805313,surge,1,0.0016805313,0.0016805313,0.0016805313,4856.0,1673191800000.0,0.00041960372,precursor,11.93,-0.0020667873,0.0005187859,-0.0012837836,0.00135439,3.0,-0.0006703674,-0.0020111022,Cluster 0
2428,4857,1673192100000.0,11.92,0.0007556675,surge,1,0.0007556675,0.0007556675,0.0007556675,4858.0,1673192300000.0,-0.00083857455,precursor,11.92,-0.0004218367,-0.0005034064,-0.00021979865,-0.0023870107,2.0,-0.0009223967,-0.0018447934,Cluster 0
2429,4859,1673192500000.0,11.92,0.0018467646,surge,2,0.0034389677,0.0068779355,0.0068779355,4860.0,1673193000000.0,-8.2842154e-05,precursor,11.96,0.003094062,-0.0016508362,0.0006391553,-0.006917517,7.0,-0.0062805875,-0.04396411,Cluster 0
2430,4861,1673194800000.0,11.89,0.0012629102,surge,1,0.0012629102,0.0012629102,0.0012629102,4862.0,1673195200000.0,-0.0031938464,precursor,11.88,-0.005503085,0.00043074996,-0.0022158916,0.0019309914,3.0,-0.0045409226,-0.013622768,Cluster 0
2431,4863,1673196500000.0,11.87,0.002365222,surge,1,0.002365222,0.002365222,0.002365222,4864.0,1673197000000.0,-0.0014323951,precursor,11.86,0.0020410386,0.0013390749,0.00046037007,0.0054177553,2.0,-0.0013472943,-0.0026945886,Cluster 0
2432,4865,1673197900000.0,11.86,0.0020253882,surge,1,0.0020253882,0.0020253882,0.0020253882,4866.0,1673198600000.0,-0.0006734715,precursor,11.87,-0.010019325,0.0037176688,-0.0050813835,0.014379614,5.0,-0.004215073,-0.021075364,Cluster 0
2433,4867,1673200900000.0,11.82,0.00059285975,surge,1,0.00059285975,0.00059285975,0.00059285975,4868.0,1673201800000.0,0.00016999032,precursor,11.84,-0.0072047887,-0.0012611406,-0.004161755,-0.0053761895,5.0,-0.0008428084,-0.004214042,Cluster 0
2434,4869,1673205300000.0,11.83,0.0015228427,surge,1,0.0015228427,0.0015228427,0.0015228427,4870.0,1673205800000.0,8.510153e-05,precursor,11.85,0.0028281773,0.00033105924,0.00097614125,0.0010723631,1.0,8.510153e-05,8.510153e-05,Cluster 0
2435,4871,1673206400000.0,11.84,0.0020270983,surge,4,0.010016779,0.040067118,0.040067118,4872.0,1673211500000.0,-8.347222e-05,precursor,11.96,0.004367228,-0.001159961,0.0020129862,-0.004613602,3.0,-0.0015859039,-0.004757712,Cluster 0
2436,4873,1673216000000.0,11.94,0.0013401039,surge,3,0.013376154,0.040128462,0.040128462,4874.0,1673221500000.0,-0.0017081656,precursor,11.99,-0.0067847883,-3.8247756e-05,-0.00057682476,0.002536748,1.0,-0.0017081656,-0.0017081656,Cluster 0
2437,4875,1673223500000.0,12.16,0.007964904,surge,5,0.03235067,0.16175334,0.16175334,4876.0,1673233300000.0,-0.004780354,precursor,12.38,0.0141812945,-0.0022249483,0.0066067744,-0.008741943,1.0,-0.004780354,-0.004780354,Cluster 0
2438,4877,1673234600000.0,12.49,0.0065251347,surge,2,0.008692949,0.017385898,0.017385898,4878.0,1673238200000.0,-0.0036698552,precursor,12.48,0.004647189,0.0023286536,0.0029285005,0.009661328,2.0,-0.0034287637,-0.0068575274,Cluster 0
2439,4879,1673242600000.0,12.54,0.0027327093,surge,1,0.0027327093,0.0027327093,0.0027327093,4880.0,1673243900000.0,-0.0023151499,precursor,12.46,-0.0059114387,0.001163829,-0.0005731414,0.0061158827,1.0,-0.0023151499,-0.0023151499,Cluster 0
2440,4881,1673245000000.0,12.47,0.0017646862,surge,1,0.0017646862,0.0017646862,0.0017646862,4882.0,1673246800000.0,-0.005033544,precursor,12.5,-0.0044391425,0.0009632499,-0.002293529,0.0025883166,1.0,-0.005033544,-0.005033544,Cluster 0
2441,4883,1673249000000.0,12.48,0.003540729,surge,1,0.003540729,0.003540729,0.003540729,4884.0,1673250500000.0,-0.0017612817,precursor,12.48,0.0018977751,0.00033948803,0.0010091703,0.0013471525,3.0,-0.008666863,-0.026000587,Cluster 0
