mp,tav,tbv,bc,ac,time
10.33,269840.354,17191.479,177072.586,12809366.519,1693252089
10.33,269837.45,17191.479,177072.737,12809336.492,1693252092
10.33,269196.717,16526.37,170208.963,12802717.042,1693252095
10.33,269880.58,17191.479,177072.586,12809782.025,1693252098
10.33,270224.419,17204.971,177223.662,12813333.708,1693252101
10.33,270224.419,17204.971,177223.662,12813333.708,1693252104
10.33,270224.419,17204.971,177223.662,12813333.708,1693252107
10.33,269966.849,17204.909,177223.654,12810663.661,1693252110
10.33,269966.849,17204.909,177236.351,12810663.661,1693252113
10.33,270016.849,17204.909,177236.351,12811180.161,1693252116
10.33,269716.234,17136.683,176532.941,12808071.289,1693252119
10.33,269706.937,17137.792,176532.938,12807975.763,1693252122
10.33,270114.449,16360.527,168508.886,12812167.074,1693252125
10.33,270501.433,16859.129,173654.459,12816169.259,1693252128
10.33,270503.13,17005.473,175164.804,12816174.634,1693252131
10.33,270512.948,16662.117,171621.371,12816278.268,1693252134
10.33,269440.791,16512.117,170074.729,12805201.945,1693252137
10.33,269428.966,16592.662,170913.185,12805080.457,1693252140
10.33,269571.926,15942.662,164203.751,12806544.446,1693252143
10.33,270962.943,14395.868,148234.825,12820824.885,1693252146
10.32,268936.856,17686.588,182071.99,12799831.631,1693252149
10.32,267955.712,17762.135,182849.49,12789703.881,1693252152
10.32,269289.92,18111.172,186440.714,12803470.924,1693252155
10.32,269607.301,18124.412,186573.587,12806746.296,1693252158
10.32,269403.968,18124.412,186574.674,12804650.012,1693252161
10.32,269208.716,18124.412,186574.809,12802635.012,1693252164
10.32,269194.313,18124.412,186574.674,12802486.223,1693252167
10.32,269194.675,18124.412,186574.674,12802489.981,1693252170
10.32,269708.287,18124.412,186573.587,12807785.667,1693252173
10.31,272791.852,22948.77,235986.625,12839299.164,1693252176
10.31,272975.48,24364.958,250560.686,12841258.584,1693252179
10.31,272975.682,24365.647,250567.769,12841260.673,1693252182
10.31,273026.523,23978.131,246581.344,12841777.616,1693252185
10.31,273026.523,24365.757,250574.435,12841777.701,1693252188
10.31,273026.523,24365.757,250574.435,12841777.616,1693252191
10.31,272301.167,24355.543,250461.679,12834279.952,1693252194
10.31,272301.167,24355.543,250458.591,12834279.952,1693252197
10.31,272162.314,24355.543,250458.591,12832845.6,1693252200
10.31,272243.017,24355.543,250458.591,12833679.844,1693252203
10.31,272243.017,24355.982,250463.917,12833679.844,1693252206
10.31,272243.017,24355.982,250463.917,12833679.844,1693252209
10.31,272243.017,24290.785,249793.04,12833678.455,1693252213
10.31,272243.017,24290.785,249793.04,12833679.844,1693252216
10.31,272243.017,23903.106,245804.397,12833679.844,1693252219
10.31,272205.807,24340.108,250299.49,12833289.94,1693252221
10.32,272595.877,18638.722,191860.493,12837452.644,1693252224
10.32,272903.119,18429.154,189704.177,12840617.023,1693252227
10.32,272345.875,18367.16,189070.721,12834867.866,1693252230
10.32,272595.875,18776.708,193283.612,12837452.692,1693252233
10.32,273015.822,18776.71,193283.633,12841788.707,1693252236
10.32,273976.424,18145.705,186777.664,12851682.911,1693252239
10.32,272726.111,18237.05,187720.234,12838793.423,1693252243
10.32,272759.974,18505.499,190492.492,12839148.947,1693252245
10.32,272759.974,18505.499,190492.492,12839148.947,1693252248
10.32,272759.974,18517.302,190614.105,12839148.947,1693252251
10.32,272471.023,18517.302,190614.256,12836167.65,1693252254
10.32,272471.023,18517.302,190615.343,12836167.65,1693252257
10.32,272494.144,18517.302,190615.343,12836406.259,1693252260
10.32,273116.952,18399.089,189390.78,12842822.923,1693252263
10.32,273085.241,18038.847,185691.315,12842499.667,1693252266
10.32,273856.364,17703.632,182231.958,12850451.594,1693252269
10.32,273885.441,17841.142,183646.97,12850751.668,1693252272
10.32,273148.153,17841.142,183646.97,12843139.328,1693252275
10.32,272475.378,18708.594,192595.733,12836207.406,1693252278
10.32,273222.42,18308.594,188470.495,12843916.202,1693252281
10.32,273443.542,18325.394,188638.239,12846169.825,1693252284
10.32,273996.587,18325.394,188638.239,12851891.283,1693252287
10.32,273572.633,24357.169,250463.464,12847420.147,1693252290
10.31,273021.959,24357.169,250460.692,12841726.617,1693252293
10.31,272878.351,24221.404,249060.932,12840225.342,1693252296
10.31,273132.367,24346.963,250332.8,12842850.341,1693252299
10.31,273104.6,24271.416,249555.921,12842565.772,1693252303
10.31,272901.631,24346.963,250332.8,12840479.079,1693252305
10.31,272901.631,23693.529,243622.73,12840481.685,1693252308
10.31,272901.631,23693.529,243622.73,12840481.516,1693252311
10.31,272901.631,23693.529,243622.73,12840481.685,1693252314
10.31,272918.521,24422.317,251119.531,12840655.99,1693252317
10.31,272918.521,24422.317,251119.531,12840655.99,1693252320
10.31,272918.521,24422.317,251119.531,12840651.651,1693252323
10.31,272918.521,24422.317,251119.834,12840651.585,1693252326
10.31,272563.298,24337.239,250244.381,12836982.984,1693252329
10.31,272917.121,25194.82,259079.954,12840643.029,1693252333
10.31,274474.794,24630.65,253272.046,12856718.076,1693252335
10.31,274474.794,24629.664,253260.311,12856718.076,1693252338
10.31,272906.055,25707.702,264363.303,12840531.189,1693252341
10.31,272906.055,25627.075,263534.457,12840528.802,1693252344
10.31,272906.055,25779.532,265103.24,12840530.495,1693252347
10.32,272864.127,19484.444,200458.417,12840100.355,1693252350
10.32,272544.609,18931.446,194866.285,12836899.104,1693252353
10.32,272544.609,19198.303,197617.976,12836899.104,1693252356
10.32,272544.609,19198.303,197617.976,12836899.104,1693252359
10.32,272543.928,19198.303,197617.976,12836901.743,1693252362
10.32,273172.958,18551.382,190946.635,12843384.303,1693252365
10.32,273173.011,18551.199,190945.244,12843380.976,1693252369
10.32,273140.765,18550.122,190934.14,12843048.198,1693252371
10.32,273164.958,18550.122,190934.14,12843298.596,1693252374
10.32,274007.058,18550.122,190934.14,12851986.68,1693252377
10.32,274007.056,18550.122,190934.14,12851989.289,1693252381
10.32,273958.637,18536.655,190795.829,12851486.492,1693252383
10.32,273993.609,18485.314,190205.343,12851828.624,1693252386
10.32,271863.181,19060.531,196197.964,12829854.41,1693252389
10.32,273057.75,19060.531,196196.605,12842200.525,1693252392
10.32,273057.75,18660.531,192072.605,12842198.442,1693252395
10.32,273057.75,18660.531,192072.605,12842198.789,1693252398
10.32,273057.75,18660.479,192075.65,12842198.789,1693252401
